M,N,R
-8,-8,2.1225946386439403
-8,-7,2.127034144060692
-8,-6,2.1314842246659955
-8,-5,2.135944814362019
-8,-4,2.1404158474464725
-8,-3,2.1448972586117034
-8,-2,2.1493889829437576
-8,-1,2.1538909559213995
-8,0,2.1584031134151007
-8,1,2.1629253916859916
-8,2,2.167457727384781
-8,3,2.172000057550644
-8,4,2.1765523196100753
-8,5,2.181114451375718
-8,6,2.1856863910451563
-8,7,2.190268077199684
-8,8,2.1948594488030437
-7,-8,2.117846606815517
-7,-7,2.1222960443821215
-7,-6,2.12675603913566
-7,-5,2.1312265247973996
-7,-4,2.1357074354882974
-7,-3,2.140198705728045
-7,-2,2.1447002704340763
-7,-1,2.1492120649205373
-7,0,2.153734024897225
-7,1,2.1582660864684873
-7,2,2.1628081861320942
-7,3,2.1673602607780738
-7,4,2.171922247687518
-7,5,2.1764940845313596
-7,6,2.1810757093691175
-7,7,2.1856670606476185
-7,8,2.190268077199684
-6,-8,2.11310790069982
-6,-7,2.1175672952706837
-6,-6,2.1220372287026446
-6,-5,2.1265176345377435
-6,-4,2.13100844672188
-6,-3,2.1355095996038043
-6,-2,2.1400210279340715
-6,-1,2.1445426668639636
-6,0,2.1490744519443714
-6,1,2.1536163191246485
-6,2,2.1581682047514277
-6,3,2.1627300455674074
-6,4,2.1673017787101085
-6,5,2.171883341710599
-6,6,2.1764746724921933
-6,7,2.1810757093691175
-6,8,2.1856863910451563
-5,-8,2.10837858317713
-5,-7,2.1128479595086818
-5,-6,2.117327856048751
-5,-5,2.1218182061618758
-5,-4,2.1263189436206416
-5,-3,2.1308300026046187
-5,-2,2.1353513176992682
-5,-1,2.139882823894804
-5,0,2.1444244565850297
-5,1,2.148976151566136
-5,2,2.153537845035466
-5,3,2.1581094735902533
-5,4,2.1626909742263227
-5,5,2.167282284336768
-5,6,2.171883341710599
-5,7,2.1764940845313596
-5,8,2.181114451375718
-4,-8,2.1036587175680377
-4,-7,2.1081381003150623
-4,-6,2.1126279842887628
-4,-5,2.117128302677946
-4,-4,2.1216389890836753
-4,-3,2.1261599775181548
-4,-2,2.130691202403577
-4,-1,2.135232598570938
-4,0,2.139784101258816
-4,1,2.144345646112119
-4,2,2.1489171691807947
-4,3,2.1534986069185185
-4,4,2.1580898961813433
-4,5,2.1626909742263227
-4,6,2.1673017787101085
-4,7,2.171922247687518
-4,8,2.1765523196100753
-3,-8,2.0989483676355642
-3,-7,2.103437781347478
-3,-6,2.107937676972448
-3,-5,2.1124479875253734
-3,-4,2.1169686464376367
-3,-3,2.1214995875559346
-3,-2,2.126040745141071
-3,-1,2.1305920538667182
-3,0,2.1351534488181403
-3,1,2.1397248654908885
-3,2,2.144306239789457
-3,3,2.148897508025918
-3,4,2.1534986069185185
-3,5,2.1581094735902533
-3,6,2.1627300455674074
-3,7,2.1673602607780738
-3,8,2.172000057550644
-2,-8,2.0942475975872576
-2,-7,2.098747066704323
-2,-6,2.103256998086539
-2,-5,2.1077773245767686
-2,-4,2.1123079794386044
-2,-3,2.116848896355146
-2,-2,2.1214000094277363
-2,-1,2.1259612531746668
-2,0,2.1305325625298477
-2,1,2.1351138728414463
-2,2,2.139705119870493
-2,3,2.144306239789457
-2,4,2.1489171691807947
-2,5,2.153537845035466
-2,6,2.1581682047514277
-2,7,2.1628081861320942
-2,8,2.167457727384781
-1,-8,2.0895564720772684
-1,-7,2.094066020926752
-1,-6,2.0985860120566895
-1,-5,2.103116378139831
-1,-4,2.1076570522739226
-1,-3,2.1122079679804258
-1,-2,2.1167690592032002
-1,-1,2.1213402603071483
-1,0,2.1259215060768355
-1,1,2.1305127317150676
-1,2,2.1351138728414463
-1,3,2.1397248654908885
-1,4,2.144345646112119
-1,5,2.148976151566136
-1,6,2.1536163191246485
-1,7,2.1582660864684873
-1,8,2.1629253916859916
0,-8,2.084875056208405
0,-7,2.089394709000671
0,-6,2.093924783749407
0,-5,2.0984652129592236
0,-4,2.1030159295640156
0,-3,2.107576866925617
0,-2,2.1121479588324297
0,-1,2.1167291394980134
0,0,2.1213203435596424
0,1,2.1259215060768355
0,2,2.1305325625298477
0,3,2.1351534488181403
0,4,2.139784101258816
0,5,2.1444244565850297
0,6,2.1490744519443714
0,7,2.153734024897225
0,8,2.1584031134151007
1,-8,2.0895564720772684
1,-7,2.094066020926752
1,-6,2.0985860120566895
1,-5,2.103116378139831
1,-4,2.1076570522739226
1,-3,2.1122079679804258
1,-2,2.1167690592032002
1,-1,2.1213402603071483
1,0,2.1259215060768355
1,1,2.1305127317150676
1,2,2.1351138728414463
1,3,2.1397248654908885
1,4,2.144345646112119
1,5,2.148976151566136
1,6,2.1536163191246485
1,7,2.1582660864684873
1,8,2.1629253916859916
2,-8,2.0942475975872576
2,-7,2.098747066704323
2,-6,2.103256998086539
2,-5,2.1077773245767686
2,-4,2.1123079794386044
2,-3,2.116848896355146
2,-2,2.1214000094277363
2,-1,2.1259612531746668
2,0,2.1305325625298477
2,1,2.1351138728414463
2,2,2.139705119870493
2,3,2.144306239789457
2,4,2.1489171691807947
2,5,2.153537845035466
2,6,2.1581682047514277
2,7,2.1628081861320942
2,8,2.167457727384781
3,-8,2.0989483676355642
3,-7,2.103437781347478
3,-6,2.107937676972448
3,-5,2.1124479875253734
3,-4,2.1169686464376367
3,-3,2.1214995875559346
3,-2,2.126040745141071
3,-1,2.1305920538667182
3,0,2.1351534488181403
3,1,2.1397248654908885
3,2,2.144306239789457
3,3,2.148897508025918
3,4,2.1534986069185185
3,5,2.1581094735902533
3,6,2.1627300455674074
3,7,2.1673602607780738
3,8,2.172000057550644
4,-8,2.1036587175680377
4,-7,2.1081381003150623
4,-6,2.1126279842887628
4,-5,2.117128302677946
4,-4,2.1216389890836753
4,-3,2.1261599775181548
4,-2,2.130691202403577
4,-1,2.135232598570938
4,0,2.139784101258816
4,1,2.144345646112119
4,2,2.1489171691807947
4,3,2.1534986069185185
4,4,2.1580898961813433
4,5,2.1626909742263227
4,6,2.1673017787101085
4,7,2.171922247687518
4,8,2.1765523196100753
5,-8,2.10837858317713
5,-7,2.1128479595086818
5,-6,2.117327856048751
5,-5,2.1218182061618758
5,-4,2.1263189436206416
5,-3,2.1308300026046187
5,-2,2.1353513176992682
5,-1,2.139882823894804
5,0,2.1444244565850297
5,1,2.148976151566136
5,2,2.153537845035466
5,3,2.1581094735902533
5,4,2.1626909742263227
5,5,2.167282284336768
5,6,2.171883341710599
5,7,2.1764940845313596
5,8,2.181114451375718
6,-8,2.11310790069982
6,-7,2.1175672952706837
6,-6,2.1220372287026446
6,-5,2.1265176345377435
6,-4,2.13100844672188
6,-3,2.1355095996038043
6,-2,2.1400210279340715
6,-1,2.1445426668639636
6,0,2.1490744519443714
6,1,2.1536163191246485
6,2,2.1581682047514277
6,3,2.1627300455674074
6,4,2.1673017787101085
6,5,2.171883341710599
6,6,2.1764746724921933
6,7,2.1810757093691175
6,8,2.1856863910451563
7,-8,2.117846606815517
7,-7,2.1222960443821215
7,-6,2.12675603913566
7,-5,2.1312265247973996
7,-4,2.1357074354882974
7,-3,2.140198705728045
7,-2,2.1447002704340763
7,-1,2.1492120649205373
7,0,2.153734024897225
7,1,2.1582660864684873
7,2,2.1628081861320942
7,3,2.1673602607780738
7,4,2.171922247687518
7,5,2.1764940845313596
7,6,2.1810757093691175
7,7,2.1856670606476185
7,8,2.190268077199684
8,-8,2.1225946386439403
8,-7,2.127034144060692
8,-6,2.1314842246659955
8,-5,2.135944814362019
8,-4,2.1404158474464725
8,-3,2.1448972586117034
8,-2,2.1493889829437576
8,-1,2.1538909559213995
8,0,2.1584031134151007
8,1,2.1629253916859916
8,2,2.167457727384781
8,3,2.172000057550644
8,4,2.1765523196100753
8,5,2.181114451375718
8,6,2.1856863910451563
8,7,2.190268077199684
8,8,2.1948594488030437
