0.0;1;1;All elements turn off;5500000000.0;-70.96
0.0;1;2;All elements turn on;5500000000.0;-70.82
0.0;1;3;Only first element turn on;5500000000.0;-70.89
3.6;1;1;All elements turn off;5500000000.0;-72.31
3.6;1;2;All elements turn on;5500000000.0;-69.37
3.6;1;3;Only first element turn on;5500000000.0;-72.30
7.2;1;1;All elements turn off;5500000000.0;-73.70
7.2;1;2;All elements turn on;5500000000.0;-70.51
7.2;1;3;Only first element turn on;5500000000.0;-73.67
10.8;1;1;All elements turn off;5500000000.0;-70.39
10.8;1;2;All elements turn on;5500000000.0;-70.08
10.8;1;3;Only first element turn on;5500000000.0;-70.38
14.4;1;1;All elements turn off;5500000000.0;-64.80
14.4;1;2;All elements turn on;5500000000.0;-63.81
14.4;1;3;Only first element turn on;5500000000.0;-64.91
18.0;1;1;All elements turn off;5500000000.0;-69.63
18.0;1;2;All elements turn on;5500000000.0;-68.22
18.0;1;3;Only first element turn on;5500000000.0;-69.87
21.6;1;1;All elements turn off;5500000000.0;-68.69
21.6;1;2;All elements turn on;5500000000.0;-67.15
21.6;1;3;Only first element turn on;5500000000.0;-68.86
25.2;1;1;All elements turn off;5500000000.0;-68.76
25.2;1;2;All elements turn on;5500000000.0;-68.88
25.2;1;3;Only first element turn on;5500000000.0;-69.01
28.8;1;1;All elements turn off;5500000000.0;-72.03
28.8;1;2;All elements turn on;5500000000.0;-72.51
28.8;1;3;Only first element turn on;5500000000.0;-71.94
32.4;1;1;All elements turn off;5500000000.0;-73.71
32.4;1;2;All elements turn on;5500000000.0;-72.73
32.4;1;3;Only first element turn on;5500000000.0;-74.06
36.0;1;1;All elements turn off;5500000000.0;-69.53
36.0;1;2;All elements turn on;5500000000.0;-68.10
36.0;1;3;Only first element turn on;5500000000.0;-69.39
39.6;1;1;All elements turn off;5500000000.0;-63.87
39.6;1;2;All elements turn on;5500000000.0;-63.00
39.6;1;3;Only first element turn on;5500000000.0;-64.12
43.2;1;1;All elements turn off;5500000000.0;-71.58
43.2;1;2;All elements turn on;5500000000.0;-70.00
43.2;1;3;Only first element turn on;5500000000.0;-71.82
46.8;1;1;All elements turn off;5500000000.0;-73.80
46.8;1;2;All elements turn on;5500000000.0;-69.32
46.8;1;3;Only first element turn on;5500000000.0;-70.02
50.4;1;1;All elements turn off;5500000000.0;-70.10
50.4;1;2;All elements turn on;5500000000.0;-70.25
50.4;1;3;Only first element turn on;5500000000.0;-70.90
54.0;1;1;All elements turn off;0.0;1;1;All elements turn off;5500000000.0;-66.31
0.0;1;2;All elements turn on;5500000000.0;-66.48
0.0;1;3;Only first element turn on;5500000000.0;-66.40
1.8;1;1;All elements turn off;5500000000.0;-70.78
1.8;1;2;All elements turn on;5500000000.0;-70.48
1.8;1;3;Only first element turn on;5500000000.0;-70.78
3.6;1;1;All elements turn off;5500000000.0;-71.46
3.6;1;2;All elements turn on;5500000000.0;-69.35
3.6;1;3;Only first element turn on;5500000000.0;-72.43
5.4;1;1;All elements turn off;5500000000.0;-74.42
5.4;1;2;All elements turn on;5500000000.0;-70.91
5.4;1;3;Only first element turn on;5500000000.0;-74.79
7.2;1;1;All elements turn off;5500000000.0;-69.39
7.2;1;2;All elements turn on;5500000000.0;-69.43
7.2;1;3;Only first element turn on;5500000000.0;-69.37
9.0;1;1;All elements turn off;5500000000.0;-64.83
9.0;1;2;All elements turn on;5500000000.0;-63.83
9.0;1;3;Only first element turn on;5500000000.0;-64.84
10.8;1;1;All elements turn off;5500000000.0;-68.33
10.8;1;2;All elements turn on;5500000000.0;-66.90
10.8;1;3;Only first element turn on;5500000000.0;-68.52
12.6;1;1;All elements turn off;5500000000.0;-67.69
12.6;1;2;All elements turn on;5500000000.0;-66.27
12.6;1;3;Only first element turn on;5500000000.0;-67.82
14.4;1;1;All elements turn off;5500000000.0;-68.25
14.4;1;2;All elements turn on;5500000000.0;-68.76
14.4;1;3;Only first element turn on;5500000000.0;-68.36
16.2;1;1;All elements turn off;5500000000.0;-71.84
16.2;1;2;All elements turn on;5500000000.0;-72.38
16.2;1;3;Only first element turn on;5500000000.0;-72.50
18.0;1;1;All elements turn off;5500000000.0;-75.39
18.0;1;2;All elements turn on;5500000000.0;-73.95
18.0;1;3;Only first element turn on;5500000000.0;-74.56
19.8;1;1;All elements turn off;5500000000.0;-66.81
19.8;1;2;All elements turn on;5500000000.0;-66.92
19.8;1;3;Only first element turn on;5500000000.0;-69.08
21.6;1;1;All elements turn off;5500000000.0;-63.12
21.6;1;2;All elements turn on;5500000000.0;-62.21
21.6;1;3;Only first element turn on;5500000000.0;-63.35
23.4;1;1;All elements turn off;5500000000.0;-70.60
23.4;1;2;All elements turn on;5500000000.0;-70.67
23.4;1;3;Only first element turn on;5500000000.0;-70.10
25.2;1;1;All elements turn off;5500000000.0;-75.36
25.2;1;2;All elements turn on;5500000000.0;-71.90
25.2;1;3;Only first element turn on;5500000000.0;-75.79
27.0;1;1;All elements turn off;5500000000.0;-72.85
27.0;1;2;All elements turn on;5500000000.0;-73.24
27.0;1;3;Only first element turn on;5500000000.0;-75.27
28.8;1;1;All elements turn off;5500000000.0;-80.87
28.8;1;2;All elements turn on;5500000000.0;-76.66
28.8;1;3;Only first element turn on;5500000000.0;-81.16
30.6;1;1;All elements turn off;5500000000.0;-67.04
30.6;1;2;All elements turn on;5500000000.0;-65.46
30.6;1;3;Only first element turn on;5500000000.0;-67.96
32.4;1;1;All elements turn off;5500000000.0;-71.25
32.4;1;2;All elements turn on;5500000000.0;-72.53
32.4;1;3;Only first element turn on;5500000000.0;-70.60
34.2;1;1;All elements turn off;5500000000.0;-71.64
34.2;1;2;All elements turn on;5500000000.0;-71.10
34.2;1;3;Only first element turn on;5500000000.0;-72.13
36.0;1;1;All elements turn off;5500000000.0;-69.67
36.0;1;2;All elements turn on;5500000000.0;-68.67
36.0;1;3;Only first element turn on;5500000000.0;-68.76
37.8;1;1;All elements turn off;5500000000.0;-80.99
37.8;1;2;All elements turn on;5500000000.0;-83.22
37.8;1;3;Only first element turn on;5500000000.0;-79.28
39.6;1;1;All elements turn off;5500000000.0;-77.54
39.6;1;2;All elements turn on;5500000000.0;-71.99
39.6;1;3;Only first element turn on;5500000000.0;-77.01
41.4;1;1;All elements turn off;5500000000.0;-72.99
41.4;1;2;All elements turn on;5500000000.0;-82.38
41.4;1;3;Only first element turn on;5500000000.0;-72.38
43.2;1;1;All elements turn off;5500000000.0;-78.83
43.2;1;2;All elements turn on;5500000000.0;-76.68
43.2;1;3;Only first element turn on;5500000000.0;-79.93
45.0;1;1;All elements turn off;5500000000.0;-71.95
45.0;1;2;All elements turn on;5500000000.0;-67.91
45.0;1;3;Only first element turn on;5500000000.0;-71.06
46.8;1;1;All elements turn off;5500000000.0;-70.49
46.8;1;2;All elements turn on;5500000000.0;-69.43
46.8;1;3;Only first element turn on;5500000000.0;-71.45
48.6;1;1;All elements turn off;5500000000.0;-79.95
48.6;1;2;All elements turn on;5500000000.0;-74.20
48.6;1;3;Only first element turn on;5500000000.0;-80.81
50.4;1;1;All elements turn off;5500000000.0;-73.01
50.4;1;2;All elements turn on;5500000000.0;-70.43
50.4;1;3;Only first element turn on;5500000000.0;-73.51
52.2;1;1;All elements turn off;5500000000.0;-70.99
52.2;1;2;All elements turn on;5500000000.0;-67.14
52.2;1;3;Only first element turn on;5500000000.0;-71.18
54.0;1;1;All elements turn off;5500000000.0;-78.38
54.0;1;2;All elements turn on;5500000000.0;-73.96
54.0;1;3;Only first element turn on;5500000000.0;-76.90
55.8;1;1;All elements turn off;5500000000.0;-74.79
55.8;1;2;All elements turn on;5500000000.0;-71.38
55.8;1;3;Only first element turn on;5500000000.0;-73.28
57.6;1;1;All elements turn off;5500000000.0;-74.97
57.6;1;2;All elements turn on;5500000000.0;-72.41
57.6;1;3;Only first element turn on;5500000000.0;-75.63
59.4;1;1;All elements turn off;5500000000.0;-70.41
59.4;1;2;All elements turn on;5500000000.0;-71.80
59.4;1;3;Only first element turn on;5500000000.0;-69.97
61.2;1;1;All elements turn off;5500000000.0;-69.04
61.2;1;2;All elements turn on;5500000000.0;-76.00
61.2;1;3;Only first element turn on;5500000000.0;-69.11
63.0;1;1;All elements turn off;5500000000.0;-69.00
63.0;1;2;All elements turn on;5500000000.0;-77.98
63.0;1;3;Only first element turn on;5500000000.0;-70.77
64.8;1;1;All elements turn off;5500000000.0;-79.39
64.8;1;2;All elements turn on;5500000000.0;-79.93
64.8;1;3;Only first element turn on;5500000000.0;-78.43
66.6;1;1;All elements turn off;5500000000.0;-78.62
66.6;1;2;All elements turn on;5500000000.0;-71.64
66.6;1;3;Only first element turn on;5500000000.0;-78.62
68.4;1;1;All elements turn off;5500000000.0;-77.61
68.4;1;2;All elements turn on;5500000000.0;-68.50
68.4;1;3;Only first element turn on;5500000000.0;-78.09
70.2;1;1;All elements turn off;5500000000.0;-85.37
70.2;1;2;All elements turn on;5500000000.0;-69.55
70.2;1;3;Only first element turn on;5500000000.0;-80.59
72.0;1;1;All elements turn off;5500000000.0;-76.56
72.0;1;2;All elements turn on;5500000000.0;-69.02
72.0;1;3;Only first element turn on;5500000000.0;-75.81
73.8;1;1;All elements turn off;5500000000.0;-78.88
73.8;1;2;All elements turn on;5500000000.0;-66.11
73.8;1;3;Only first element turn on;5500000000.0;-78.35
75.6;1;1;All elements turn off;5500000000.0;-71.25
75.6;1;2;All elements turn on;5500000000.0;-64.88
75.6;1;3;Only first element turn on;5500000000.0;-72.18
77.4;1;1;All elements turn off;5500000000.0;-69.68
77.4;1;2;All elements turn on;5500000000.0;-67.37
77.4;1;3;Only first element turn on;5500000000.0;-69.29
79.2;1;1;All elements turn off;5500000000.0;-66.71
79.2;1;2;All elements turn on;5500000000.0;-68.46
79.2;1;3;Only first element turn on;5500000000.0;-66.94
81.0;1;1;All elements turn off;5500000000.0;-67.78
81.0;1;2;All elements turn on;5500000000.0;-65.80
81.0;1;3;Only first element turn on;5500000000.0;-67.50
82.8;1;1;All elements turn off;5500000000.0;-64.75
82.8;1;2;All elements turn on;5500000000.0;-68.95
82.8;1;3;Only first element turn on;5500000000.0;-64.06
84.6;1;1;All elements turn off;5500000000.0;-60.69
84.6;1;2;All elements turn on;5500000000.0;-75.41
84.6;1;3;Only first element turn on;5500000000.0;-60.58
86.4;1;1;All elements turn off;5500000000.0;-59.53
86.4;1;2;All elements turn on;5500000000.0;-69.03
86.4;1;3;Only first element turn on;5500000000.0;-59.52
88.2;1;1;All elements turn off;5500000000.0;-58.31
88.2;1;2;All elements turn on;5500000000.0;-71.98
88.2;1;3;Only first element turn on;5500000000.0;-58.46
0.0;1;1;All elements turn off;5500000000.0;-72.73
0.0;1;2;All elements turn on;5500000000.0;-72.73
0.0;1;3;Only first element turn on;5500000000.0;-72.92
1.8;1;1;All elements turn off;5500000000.0;-74.78
1.8;1;2;All elements turn on;5500000000.0;-71.55
1.8;1;3;Only first element turn on;5500000000.0;-75.52
3.6;1;1;All elements turn off;5500000000.0;-69.28
3.6;1;2;All elements turn on;5500000000.0;-68.97
3.6;1;3;Only first element turn on;5500000000.0;-69.32
5.4;1;1;All elements turn off;5500000000.0;-64.29
5.4;1;2;All elements turn on;5500000000.0;-63.26
5.4;1;3;Only first element turn on;5500000000.0;-64.07
7.2;1;1;All elements turn off;5500000000.0;-68.84
7.2;1;2;All elements turn on;5500000000.0;-67.26
7.2;1;3;Only first element turn on;5500000000.0;-69.02
9.0;1;1;All elements turn off;5500000000.0;-68.95
9.0;1;2;All elements turn on;5500000000.0;-67.09
9.0;1;3;Only first element turn on;5500000000.0;-68.81
10.8;1;1;All elements turn off;5500000000.0;-69.21
10.8;1;2;All elements turn on;5500000000.0;-69.30
10.8;1;3;Only first element turn on;5500000000.0;-69.35
12.6;1;1;All elements turn off;5500000000.0;-72.13
12.6;1;2;All elements turn on;5500000000.0;-72.60
12.6;1;3;Only first element turn on;5500000000.0;-71.78
14.4;1;1;All elements turn off;5500000000.0;-74.19
14.4;1;2;All elements turn on;5500000000.0;-73.89
14.4;1;3;Only first element turn on;5500000000.0;-74.26
16.2;1;1;All elements turn off;5500000000.0;-68.98
16.2;1;2;All elements turn on;5500000000.0;-67.43
16.2;1;3;Only first element turn on;5500000000.0;-68.96
18.0;1;1;All elements turn off;5500000000.0;-63.84
18.0;1;2;All elements turn on;5500000000.0;-62.63
18.0;1;3;Only first element turn on;5500000000.0;-63.92
19.8;1;1;All elements turn off;5500000000.0;-70.98
19.8;1;2;All elements turn on;5500000000.0;-69.28
19.8;1;3;Only first element turn on;5500000000.0;-71.18
21.6;1;1;All elements turn off;5500000000.0;-72.49
21.6;1;2;All elements turn on;5500000000.0;-69.37
21.6;1;3;Only first element turn on;5500000000.0;-72.45
23.4;1;1;All elements turn off;5500000000.0;-72.06
23.4;1;2;All elements turn on;5500000000.0;-71.16
23.4;1;3;Only first element turn on;5500000000.0;-72.34
25.2;1;1;All elements turn off;5500000000.0;-85.89
25.2;1;2;All elements turn on;5500000000.0;-75.15
25.2;1;3;Only first element turn on;5500000000.0;-85.24
27.0;1;1;All elements turn off;5500000000.0;-67.52
27.0;1;2;All elements turn on;5500000000.0;-66.01
27.0;1;3;Only first element turn on;5500000000.0;-67.67
28.8;1;1;All elements turn off;5500000000.0;-69.87
28.8;1;2;All elements turn on;5500000000.0;-71.24
28.8;1;3;Only first element turn on;5500000000.0;-69.97
30.6;1;1;All elements turn off;5500000000.0;-73.05
30.6;1;2;All elements turn on;5500000000.0;-71.11
30.6;1;3;Only first element turn on;5500000000.0;-73.07
32.4;1;1;All elements turn off;5500000000.0;-70.93
32.4;1;2;All elements turn on;5500000000.0;-70.34
32.4;1;3;Only first element turn on;5500000000.0;-71.32
34.2;1;1;All elements turn off;5500000000.0;-79.65
34.2;1;2;All elements turn on;5500000000.0;-93.03
34.2;1;3;Only first element turn on;5500000000.0;-79.71
36.0;1;1;All elements turn off;5500000000.0;-73.70
36.0;1;2;All elements turn on;5500000000.0;-71.29
36.0;1;3;Only first element turn on;5500000000.0;-73.96
37.8;1;1;All elements turn off;5500000000.0;-69.89
37.8;1;2;All elements turn on;5500000000.0;-76.60
37.8;1;3;Only first element turn on;5500000000.0;-70.32
39.6;1;1;All elements turn off;5500000000.0;-81.06
39.6;1;2;All elements turn on;5500000000.0;-75.88
39.6;1;3;Only first element turn on;5500000000.0;-82.22
41.4;1;1;All elements turn off;5500000000.0;-71.82
41.4;1;2;All elements turn on;5500000000.0;-69.41
41.4;1;3;Only first element turn on;5500000000.0;-72.60
43.2;1;1;All elements turn off;5500000000.0;-71.61
43.2;1;2;All elements turn on;5500000000.0;-70.32
43.2;1;3;Only first element turn on;5500000000.0;-72.10
45.0;1;1;All elements turn off;5500000000.0;-79.06
45.0;1;2;All elements turn on;5500000000.0;-76.45
45.0;1;3;Only first element turn on;5500000000.0;-78.85
46.8;1;1;All elements turn off;5500000000.0;-75.57
46.8;1;2;All elements turn on;5500000000.0;-70.58
46.8;1;3;Only first element turn on;5500000000.0;-76.63
48.6;1;1;All elements turn off;5500000000.0;-72.42
48.6;1;2;All elements turn on;5500000000.0;-70.49
48.6;1;3;Only first element turn on;5500000000.0;-72.51
50.4;1;1;All elements turn off;5500000000.0;-85.07
50.4;1;2;All elements turn on;5500000000.0;-79.90
50.4;1;3;Only first element turn on;5500000000.0;-84.80
52.2;1;1;All elements turn off;5500000000.0;-72.66
52.2;1;2;All elements turn on;5500000000.0;-67.08
52.2;1;3;Only first element turn on;5500000000.0;-72.19
54.0;1;1;All elements turn off;5500000000.0;-72.13
54.0;1;2;All elements turn on;5500000000.0;-70.63
54.0;1;3;Only first element turn on;5500000000.0;-72.11
55.8;1;1;All elements turn off;5500000000.0;-70.77
55.8;1;2;All elements turn on;5500000000.0;-71.25
55.8;1;3;Only first element turn on;5500000000.0;-70.62
57.6;1;1;All elements turn off;5500000000.0;-71.43
57.6;1;2;All elements turn on;5500000000.0;-74.70
57.6;1;3;Only first element turn on;5500000000.0;-69.81
59.4;1;1;All elements turn off;5500000000.0;-71.71
59.4;1;2;All elements turn on;5500000000.0;-77.29
59.4;1;3;Only first element turn on;5500000000.0;-70.85
61.2;1;1;All elements turn off;5500000000.0;-78.96
61.2;1;2;All elements turn on;5500000000.0;-80.21
61.2;1;3;Only first element turn on;5500000000.0;-76.99
63.0;1;1;All elements turn off;5500000000.0;-77.01
63.0;1;2;All elements turn on;5500000000.0;-73.51
63.0;1;3;Only first element turn on;5500000000.0;-76.13
64.8;1;1;All elements turn off;5500000000.0;-75.62
64.8;1;2;All elements turn on;5500000000.0;-68.19
64.8;1;3;Only first element turn on;5500000000.0;-76.24
66.6;1;1;All elements turn off;5500000000.0;-86.89
66.6;1;2;All elements turn on;5500000000.0;-69.20
66.6;1;3;Only first element turn on;5500000000.0;-81.72
68.4;1;1;All elements turn off;5500000000.0;-78.20
68.4;1;2;All elements turn on;5500000000.0;-68.49
68.4;1;3;Only first element turn on;5500000000.0;-76.96
70.2;1;1;All elements turn off;5500000000.0;-78.78
70.2;1;2;All elements turn on;5500000000.0;-65.57
70.2;1;3;Only first element turn on;5500000000.0;-78.38
72.0;1;1;All elements turn off;5500000000.0;-71.02
72.0;1;2;All elements turn on;5500000000.0;-64.36
72.0;1;3;Only first element turn on;5500000000.0;-71.25
73.8;1;1;All elements turn off;5500000000.0;-68.77
73.8;1;2;All elements turn on;5500000000.0;-66.51
73.8;1;3;Only first element turn on;5500000000.0;-69.20
75.6;1;1;All elements turn off;5500000000.0;-66.25
75.6;1;2;All elements turn on;5500000000.0;-68.05
75.6;1;3;Only first element turn on;5500000000.0;-66.16
77.4;1;1;All elements turn off;5500000000.0;-70.82
77.4;1;2;All elements turn on;5500000000.0;-67.84
77.4;1;3;Only first element turn on;5500000000.0;-70.08
79.2;1;1;All elements turn off;5500000000.0;-66.82
79.2;1;2;All elements turn on;5500000000.0;-67.35
79.2;1;3;Only first element turn on;5500000000.0;-63.62
81.0;1;1;All elements turn off;5500000000.0;-60.42
81.0;1;2;All elements turn on;5500000000.0;-72.35
81.0;1;3;Only first element turn on;5500000000.0;-61.23
82.8;1;1;All elements turn off;5500000000.0;-59.25
82.8;1;2;All elements turn on;5500000000.0;-68.93
82.8;1;3;Only first element turn on;5500000000.0;-59.25
84.6;1;1;All elements turn off;5500000000.0;-58.22
84.6;1;2;All elements turn on;5500000000.0;-72.71
84.6;1;3;Only first element turn on;5500000000.0;-58.13
86.4;1;1;All elements turn off;5500000000.0;-54.87
86.4;1;2;All elements turn on;5500000000.0;-57.17
86.4;1;3;Only first element turn on;5500000000.0;-55.29
88.2;1;1;All elements turn off;5500000000.0;-53.26
88.2;1;2;All elements turn on;5500000000.0;-51.92
88.2;1;3;Only first element turn on;5500000000.0;-53.38
90.0;1;1;All elements turn off;5500000000.0;-52.84
90.0;1;2;All elements turn on;5500000000.0;-50.57
90.0;1;3;Only first element turn on;5500000000.0;-53.21
0.0;1;1;All elements turn off;5500000000.0;-72.33
0.0;1;2;All elements turn on;5500000000.0;-72.41
0.0;1;8;Lower half on;5500000000.0;-70.83
0.0;1;17;Thicker vertical strips [11110000];5500000000.0;-70.28
0.0;1;19;Thick horizontal strips [1100];5500000000.0;-71.81
0.0;1;20;Thick horizontal strips [0011];5500000000.0;-71.43
1.8;1;1;All elements turn off;5500000000.0;-72.64
1.8;1;2;All elements turn on;5500000000.0;-70.15
1.8;1;8;Lower half on;5500000000.0;-70.98
1.8;1;17;Thicker vertical strips [11110000];5500000000.0;-70.22
1.8;1;19;Thick horizontal strips [1100];5500000000.0;-71.71
1.8;1;20;Thick horizontal strips [0011];5500000000.0;-71.19
3.6;1;1;All elements turn off;5500000000.0;-73.47
3.6;1;2;All elements turn on;5500000000.0;-70.56
3.6;1;8;Lower half on;5500000000.0;-71.34
3.6;1;17;Thicker vertical strips [11110000];5500000000.0;-70.66
3.6;1;19;Thick horizontal strips [1100];5500000000.0;-72.65
3.6;1;20;Thick horizontal strips [0011];5500000000.0;-71.53
5.4;1;1;All elements turn off;5500000000.0;-69.18
5.4;1;2;All elements turn on;5500000000.0;-68.97
5.4;1;8;Lower half on;5500000000.0;-68.77
5.4;1;17;Thicker vertical strips [11110000];5500000000.0;-68.28
5.4;1;19;Thick horizontal strips [1100];5500000000.0;-69.11
5.4;1;20;Thick horizontal strips [0011];5500000000.0;-68.96
7.2;1;1;All elements turn off;5500000000.0;-64.45
7.2;1;2;All elements turn on;5500000000.0;-63.53
7.2;1;8;Lower half on;5500000000.0;-63.64
7.2;1;17;Thicker vertical strips [11110000];5500000000.0;-63.08
7.2;1;19;Thick horizontal strips [1100];5500000000.0;-64.14
7.2;1;20;Thick horizontal strips [0011];5500000000.0;-63.81
9.0;1;1;All elements turn off;5500000000.0;-69.49
9.0;1;2;All elements turn on;5500000000.0;-67.92
9.0;1;8;Lower half on;5500000000.0;-68.38
9.0;1;17;Thicker vertical strips [11110000];5500000000.0;-67.45
9.0;1;19;Thick horizontal strips [1100];5500000000.0;-69.00
9.0;1;20;Thick horizontal strips [0011];5500000000.0;-68.55
10.8;1;1;All elements turn off;5500000000.0;-68.92
10.8;1;2;All elements turn on;5500000000.0;-67.35
10.8;1;8;Lower half on;5500000000.0;-68.25
10.8;1;17;Thicker vertical strips [11110000];5500000000.0;-66.87
10.8;1;19;Thick horizontal strips [1100];5500000000.0;-68.60
10.8;1;20;Thick horizontal strips [0011];5500000000.0;-67.82
12.6;1;1;All elements turn off;5500000000.0;-69.94
12.6;1;2;All elements turn on;5500000000.0;-70.60
12.6;1;8;Lower half on;5500000000.0;-71.29
12.6;1;17;Thicker vertical strips [11110000];5500000000.0;-70.83
12.6;1;19;Thick horizontal strips [1100];5500000000.0;-70.39
12.6;1;20;Thick horizontal strips [0011];5500000000.0;-70.43
14.4;1;1;All elements turn off;5500000000.0;-72.14
14.4;1;2;All elements turn on;5500000000.0;-72.18
14.4;1;8;Lower half on;5500000000.0;-71.21
14.4;1;17;Thicker vertical strips [11110000];5500000000.0;-71.37
14.4;1;19;Thick horizontal strips [1100];5500000000.0;-71.97
14.4;1;20;Thick horizontal strips [0011];5500000000.0;-72.58
16.2;1;1;All elements turn off;5500000000.0;-73.23
16.2;1;2;All elements turn on;5500000000.0;-72.64
16.2;1;8;Lower half on;5500000000.0;-71.78
16.2;1;17;Thicker vertical strips [11110000];5500000000.0;-70.63
16.2;1;19;Thick horizontal strips [1100];5500000000.0;-73.23
16.2;1;20;Thick horizontal strips [0011];5500000000.0;-72.71
18.0;1;1;All elements turn off;5500000000.0;-70.07
18.0;1;2;All elements turn on;5500000000.0;-68.49
18.0;1;8;Lower half on;5500000000.0;-68.64
18.0;1;17;Thicker vertical strips [11110000];5500000000.0;-68.40
